moment,reaction,offensiveness,responsibility
1,52,-1.937003937,1.528914553
1,53,0.387789925,1.535898385
1,54,-0.79089023,3.611564179
1,55,1.025112615,1.763932023
1,56,1.917517095,-0.609126351
1,57,-0.732050808,4
1,58,2.316718427,0.604115854
1,59,0.032051661,2.606256115
1,60,4.872222338,-0.559488166
1,61,3.998485474,0.008346395
1,62,0.351924814999999,-1.43064117
1,63,-0.378282792,0.119172935
1,64,0.24319025,-0.248655564
1,65,-0.524917218,0.854248689
1,66,-0.473644135,0.083424911
1,67,0.589871798,3.280419974
1,68,2.263921189,-0.880476143
1,69,0.75,-0.5
1,70,0.032644217,4.839753101
1,71,1,0.22587645
1,72,10,1
1,73,1.6855177,2.084524053
1,74,-0.544393475,0.451752899
1,75,0.678591744,-0.691071366
1,76,2.113248654,0.279374458
1,77,8.183503419,-0.25
1,78,2.031711264,-0.10998008
1,79,8.178632795,-0.488033871
1,80,-0.324986939,4.700282506
1,81,1.532644217,4.042174872
1,82,2.22587645,-0.004757056
1,83,3.498648895,0.191681084
1,84,2.288383874,1.297989029
1,85,-0.588854382,1.083424911
1,86,1.757359313,-1.122281323
1,87,-0.829998666,-0.645751311
1,88,-1.952135487,-0.645751311
1,89,-0.483281573,0.650641131
1,90,1.964887193,-0.967948339
1,91,-0.097617696,1.556209207
1,92,1.854248689,1.803154498
1,93,0.60473138,0.470177872
1,94,1.121965864,0.595528498
2,0,0.459824575,1.498648895
2,1,0.585786438,-0.035533906
2,2,-0.75680975,4.683389263
2,3,-1.123105626,0.726679947
2,4,1.462502709,0.462502709
2,5,0.394448725,-0.183278145
2,6,-1.009249753,-0.75
2,7,2.594122727,0
2,8,1.390873649,-0.414854216
2,9,-0.227167715,-0.260681686
2,10,-1.464101615,3.27828287
2,11,0.357030551,0.854248689
2,12,-0.147722558,0.61846592
2,13,1.023932256,1.585000668
2,14,7.25,-0.25
2,15,-0.28035085,-0.380972058
2,16,0.116718427,1.379473725
2,17,1.125425215,2.619027942
2,18,-0.886335345,4.450641131
2,19,0.183503419,-0.175306016
2,20,1.552923188,0.276461594
2,21,1.010841209,1.821741879
2,22,2.032051661,0.083424911
2,23,0.316718427,2.171572875
2,24,0.150055189,-0.183278145
2,25,1.27828287,0
2,26,0.256538464,1.791485513
2,27,-0.036660027,1.258342613
2,28,-0.25,2.154304063
2,29,2.636294064,-0.249390153
2,30,0.292572892,-0.196845502
2,31,-0.923177194,2.400565012
2,32,1.324693984,-0.160246899
2,33,0.069470069,0.683389263
2,34,3.426740378,-0.23510733
2,35,-1.207680962,2.258342613
2,36,0.258342613,2.704554885
2,37,1.378679656,5
2,38,3.51964915,-0.28997992
2,39,2.390638693,0.719027942
2,40,-0.249390153,0.269504832
2,41,1.010841209,0.122880529
2,42,-0.31662479,-0.483281573
2,43,2.805808101,-0.11927223
2,44,-0.183278145,0
2,45,1.636294064,0.583409788
2,46,2.171572875,2.171572875
2,47,-0.516620626,0.483379374
2,48,0.241682042,-0.874574785
2,49,1.783614051,-0.007311614
2,50,1.171572875,1.440973916
2,51,-0.741657387,-0.503840481
2,52,0.458152179,2.995242944
2,53,-0.366479395,-0.036660027
2,54,0.258342613,4.22587645
2,55,2.5,0.839753101
2,56,2.464466094,-0.937003937
2,57,1.719027942,2.156832327
2,58,-0.59089023,0.792319038
2,59,-0.612907813,-0.622281323
2,60,-0.000666613,-0.677757278
2,61,-0.121320344,4.752786405
2,62,-0.967948339,-0.967948339
2,63,-0.573644135,-0.649963609
2,64,0.542174872,1.475082782
2,65,0.792319038,2.607151991
2,66,0.835386489,-0.097255128
2,67,0.259824575,2.084524053
2,68,2.689306135,1.121595125
2,69,5.564584688,-0.877012563
2,70,-0.082482905,0.12004436
2,71,3.34525841,-0.003029052
2,72,-0.618802154,-0.236078811
2,73,-0.38153408,-0.749576241
2,74,0.119523857,3.491694261
2,75,-0.833150178,-0.967948339
2,76,-0.741657387,0.950247531
2,77,2.433520605,0.41886117
2,78,1.462864461,0.63701244
2,79,5,1.251667334
2,80,-0.829708431,1.377718677
2,81,1.15479212,4.444265243
2,82,4.084524053,-0.473644135
2,83,-0.90555213,-0.79089023
2,84,2.267949192,0.354248689
2,85,1.101724651,1.619027942
2,86,0.0855177,3.259824575
2,87,2.552923188,0.883424911
2,88,8.292893219,-0.494427191
2,89,-0.10998008,1.526355865
2,90,0,0.267949192
2,91,-0.620526275,0.097827113
2,92,1.434528245,-0.208165371
2,93,5.300406565,-0.398924451
2,94,2.625214783,0
3,0,-1.08878695,2.506419768
3,1,1.967073231,4.122273191
3,2,-1,-0.145751311
3,3,4.47143466,0.122273191
3,4,0.906446477,1.326679947
3,5,0.22587645,-0.224903099
3,6,-0.683300133,-0.335711861
3,7,1.180995378,0.261387212
3,8,4.898148783,-0.79089023
3,9,6.583409788,-0.494427191
3,10,-0.111469516,-0.286335345
3,11,-0.183278145,0.354248689
