moment,reaction,offensiveness,responsibility
6,4,-0.23,-0.64
6,5,-0.96,0.83
6,6,0.49,-0.47
6,7,-0.91,-0.79
6,8,3.34,-0.72
6,9,2.36,-0.6
6,10,-0.29,3.67
6,11,-1.06,-0.76
6,12,0.86,-0.77
6,13,0.35,0.32
6,14,3.33,0.72
6,15,-0.82,-0.32
6,16,-0.43,-0.46
6,17,0.58,0.13
6,18,0.11,-0.26
6,19,0.89,0.56
6,20,0.36,0.21
6,21,-0.8,-0.71
6,22,0.66,-0.62
6,23,1.35,0.18
6,24,-0.27,-0.54
6,25,-0.26,-0.7
6,26,-0.19,3.95
6,27,0.71,0.3
6,28,-0.44,-0.37
6,29,-0.47,-0.61
6,30,-0.12,1.48
6,31,0.73,0.66
6,32,-0.6,-0.95
6,33,0.67,0.29
6,34,-0.87,-0.02
6,35,0,1.41
6,36,-0.27,-0.27
6,37,1.42,0.96
6,38,-0.62,1.31
6,39,-0.49,1.08
6,40,0.53,0.3
6,41,0.2,0.76
6,42,0.22,0.35
6,43,-0.7,3.12
6,44,-1.15,2.16
6,45,0.1,-0.36
6,46,-0.24,1.39
6,47,-0.19,0.36
6,48,-0.53,0.37
6,49,0.78,2.71
7,0,5.2,-1.15
7,1,2.41,-1.03
7,2,0.93,0.93
7,3,-0.35,1.24
7,4,2.74,-0.49
7,5,-0.65,1.51
7,6,1.87,-0.18
7,7,1.89,-0.94
7,8,3.06,-0.56
7,9,4.05,-0.62
7,10,2.85,1.2
7,11,0.3,-0.91
7,12,6.68,-0.15
7,13,1.42,-0.77
7,14,2.59,-0.31
7,15,1.66,0.44
7,16,0.71,-0.14
7,17,1.91,0.31
7,18,2.71,-0.22
7,19,1.68,-0.78
7,20,3.59,-0.51
7,21,2.8,-0.53
7,22,5.97,-0.83
7,23,2.2,-0.52
7,24,2.21,0.01
7,25,1.1,0.62
7,26,1.16,0.34
7,27,0.78,0.28
7,28,0.18,-0.68
7,29,0.81,-0.41
7,30,-0.2,1.74
7,31,2.34,0.89
7,32,0.26,0.9
7,33,-0.13,-0.22
7,34,2.6,-0.98
7,35,1.94,1.5
7,36,1.23,-1.02
7,37,0.98,-0.63
7,38,0.35,0.78
7,39,0.92,-0.12
7,40,0.46,0.54
7,41,1.14,0.85
7,42,-0.54,-0.32
7,43,0.98,2.33
7,44,-0.88,4.61
7,45,0.14,0.63
7,46,2.94,0.88
7,47,1.21,0.77
7,48,2.93,0.94
7,49,2.25,1.18
8,0,2.83,-0.22
8,1,2.76,-1.06
8,2,-0.22,0.69
8,3,-0.24,1.68
8,4,0.91,-0.29
8,5,-0.2,1.03
8,6,1.15,-0.39
8,7,1.08,-0.1
8,8,0.29,-0.15
8,9,1.09,0.23
8,10,0.74,0.76
8,11,1.93,0.13
8,12,2.66,-0.92
8,13,1.54,-0.29
8,14,-0.1,0
8,15,0,0.92
8,16,-0.44,0.23
8,17,-0.06,0.59
8,18,-0.32,-0.44
8,19,2.95,-0.84
8,20,1.8,0.06
8,21,0.23,-0.89
8,22,3.19,-0.86
8,23,1.31,-0.62
8,24,0.39,0.43
8,25,0.64,0.1
8,26,-0.96,5.97
8,27,2.07,0.06
8,28,0.26,0.3
8,29,0.4,2.84
8,30,1.6,-0.5
8,31,0.51,1.46
8,32,-0.13,2.53
8,33,0.47,0.17
8,34,1.15,-0.42
8,35,0.36,0.51
8,36,0.88,-0.89
8,37,0.12,-0.56
8,38,-0.25,3.48
8,39,0.8,0.09
8,40,1.46,-0.29
8,41,3.21,1.12
8,42,0.31,2.56
8,43,1.44,0.38
8,44,0.71,5.07
8,45,0.77,0.55
8,46,-0.05,-0.26
8,47,0.02,0.84
8,48,2.29,-0.54
8,49,1.06,0.32
9,0,1.1,0.76
9,1,0.61,-0.44
9,2,0.61,-0.12
9,3,-0.01,1.65
9,4,4.59,-0.95
9,5,1.14,2.13
9,6,-0.13,-0.16
9,7,3.63,-0.36
9,8,1.26,0.2
9,9,0.8,0.48
9,10,-0.45,5.81
9,11,1.02,-0.1
9,12,-0.04,0.78
9,13,0.62,0.52
9,14,-0.72,-1.06
9,15,-0.73,2.2
9,16,-0.1,1.63
9,17,0.14,0.33
9,18,0.62,-0.81
9,19,1.46,-0.31
9,20,0.74,-0.03
9,21,-0.27,0.54
9,22,3.1,-0.14
9,23,0.63,0.95
9,24,0.53,2.16
9,25,0.11,-0.52
9,26,-0.41,3.2
9,27,0.17,-0.32
9,28,0.53,-0.59
9,29,-0.49,-0.29
9,30,0.77,3.27
9,31,0.07,-0.53
9,32,-0.62,0.59
9,33,-0.21,-0.77
9,34,2.72,0.57
